epoch,time,train/box_loss,train/cls_loss,train/dfl_loss,metrics/precision(B),metrics/recall(B),metrics/mAP50(B),metrics/mAP50-95(B),val/box_loss,val/cls_loss,val/dfl_loss,lr/pg0,lr/pg1,lr/pg2
1,28.0009,1.98278,3.92315,2.00915,0.0001,0.02089,7e-05,1e-05,nan,nan,nan,0.070566,0.00327044,0.00327044
2,38.7699,2.31159,2.74125,2.31711,0.00177,0.21401,0.00129,0.00037,3.70829,inf,110.372,0.0399123,0.00595,0.00595
3,49.513,2.17558,2.47202,2.17503,0.00975,0.05531,0.00737,0.00158,3.9133,154.696,4.61327,0.00859849,0.00796956,0.00796956
4,60.359,2.00156,2.19236,2.05519,0.07847,0.39472,0.13514,0.05887,2.39297,12.2119,2.55822,0.00703,0.00703,0.00703
5,71.067,1.93685,1.99976,1.97418,0.09165,0.13996,0.05217,0.02002,3.07527,10.1419,3.32075,0.00604,0.00604,0.00604
6,81.8742,1.82901,1.87421,1.88147,0.57915,0.44716,0.47916,0.25465,1.88091,2.08367,1.89155,0.00505,0.00505,0.00505
7,92.7257,1.69408,1.79407,1.78069,0.33712,0.28589,0.27517,0.14479,2.22473,2.87344,2.25998,0.00406,0.00406,0.00406
8,103.198,1.66242,1.66501,1.73542,0.61642,0.51034,0.55421,0.31071,1.78911,1.77255,1.83581,0.00307,0.00307,0.00307
9,113.769,1.56775,1.51078,1.66457,0.763,0.54663,0.63424,0.39607,1.52727,1.47694,1.61232,0.00208,0.00208,0.00208
10,124.363,1.48129,1.42988,1.61318,0.76908,0.58152,0.65625,0.41191,1.4895,1.40936,1.5884,0.00109,0.00109,0.00109
